command_id,source_row,repo,module,first_delivery_phase,completion_phase,output,acceptance_focus
CATALOG_LOAD,2,scrapling-ingestion,rules.import_compile,P2,P2,RulePack + compile report,"Missing 99_MASTER_ALL, ambiguous OR/guard text, duplicate IDs, unknown operators or incompatible versions are explicit import failures, not executable guesses."
NORM_URL,3,scrapling-ingestion,intake.url_identity,P1,P2,NormalizedTarget,"Reject userinfo tricks, private/link-local destinations, unsafe schemes and redirect escapes. Preserve meaningful path/query case."
FETCH_STATIC,4,scrapling-ingestion,transport.http,P1,P2,AcquisitionAttempt + Artifact,"A 200 challenge, 304 without retained body, truncated response or transport error is not complete usable HTML. Count failed attempts and redirects."
FETCH_STEALTH,5,scrapling-ingestion,transport.browser,P2,P2,Browser capture + network artifacts,"429 causes backoff, not stealth escalation. Empty shells may justify rendering. Do not cross authentication/access restrictions. Every navigation and subrequest is bounded."
FETCH_SITEMAP,6,scrapling-ingestion,discovery.sitemaps,P2,P2,Sitemap artifacts + discovered resources,"Sitemap counts are declared URL counts, not verified products/jobs. Bound compressed/decompressed size and reject external entities and disallowed targets."
FETCH_ROBOTS,7,scrapling-ingestion,policy.robots,P1,P2,Policy decision + robots artifact,"This deliberately supersedes the workbook's 'sitemaps only' use. Failed retrieval is handled by an explicit policy, never a business absence."
FETCH_WELL_KNOWN,8,scrapling-ingestion,discovery.path_probes,P2,P2,Attempted-path ledger + artifacts,"A probe is fetched once and its body reused. 404 is scoped path evidence, not missing software. Record paths skipped by budget or policy."
DISCOVER_TEMPLATES,9,scrapling-ingestion,discovery.template_planner,P2,P2,Bounded URL plan,External ATS/portal links are retained as evidence but require a separately approved source scope before following.
DISCOVER_CANONICAL,10,scrapling-ingestion,intake.redirect_binding,P2,P2,Resource identity/binding candidates,A canonical tag alone cannot merge organizations or extend crawl scope. Exact accepted host scope is distinct from registrable-domain grouping.
EXTRACT_RAW_HTML,11,scrapling-ingestion,extraction.raw_html,P1,P2,Raw artifact + match view,Do not overwrite source bytes with lowercase/errors=ignore. Raw/comment matches alone cannot prove active deployment.
EXTRACT_SCRIPT_SRC,12,scrapling-ingestion,extraction.scripts,P2,P2,Script surface records,A script from an agency example or unbound frame must not become the site's product deployment.
